event_a,event_b,overlap_area_m2
AR3596009217220180315,AR3607609232920210329,7305831.6
AR3597409222120190327,AR3607609232920210329,27072776.6
MO3755109130620200307,MO3743109121220190409,11219255.8
MO3755109130620200307,MO3749809136920210329,93853444.6
MO3749809136920210329,MO3738509126320200222,24809451.2
WI4664009130020190524,WI4660309128320180517,180518226.9
MS3092508923320200120,MS3093008924020180514,210401576.9
MS3092508923320200120,MS3098008915020210421,79811220.5
MS3098008915020210421,MS3093008924020180514,66854362.6
MS3063008890020200120,MS3059908890620210221,181258249.2
MS3063008890020200120,MS3061008891020200227,163543457.7
MS3063008890020200120,MS3069608886120200223,78730152.9
MS3059908890620210221,MS3061008891020200227,203349936.9
MS3059908890620210221,MS3069608886120200223,39734013.2
MS3069608886120200223,MS3061008891020200227,36269629.1
AL3109508674120190225,AL3103508679420210427,99618447.8
AL3109508674120190225,AL3104408677720200122,125430849.0
AL3109508674120190225,AL3108208660420190308,29333968.9
AL3109508674120190225,AL3111808672020190411,157335233.8
AL3108208660420190308,AL3111808672020190411,55498274.5
AL3108208660420190308,AL3113808653620190508,109861966.4
AL3113808653620190508,AL3111808672020190411,5282576.0
FL3010308497220210121,FL3005608509020190916,59663782.3
FL3010308497220210121,FL3011208494120210203,182597313.2
FL3010308497220210121,FL3015208489420190730,89893423.5
FL3025708487720210328,FL3015208489420190730,53902197.2
FL3025708487720210328,FL3029608485520210518,108532339.1
FL3005708480020210311,FL3011208494120210203,12127362.5
FL3005708480020210311,FL3015208489420190730,29886727.0
FL3005708480020210311,FL3012108472320180325,42235665.3
MS3261408958320190329,MS3252308962220210421,42947841.3
AL3290808746320180223,AL3286708741320210222,118971167.3
AL3290808746320180223,AL3299008748020180411,95862542.3
AL3290808746320180223,AL3298808735520180323,32878709.2
AL3298808735520180323,AL3286708741320210222,21594972.4
AL3298808735520180323,AL3299008748020180411,41499114.2
AL3286708741320210222,AL3299008748020180411,25744149.3
AL3421308731220200229,AL3424108725320180315,116997060.8
AL3421308731220200229,AL3430908725520200308,32101081.6
AL3430908725520200308,AL3424108725320180315,82090448.1
AL3341708591520210223,AL3337908600020210224,70666730.6
AL3341708591520210223,AL3339508597420180411,105999129.1
AL3249308559420210321,AL3249008559320190201,224491190.7
AL3380408552420200108,AL3370708555920190327,52555057.7
AL3380408552420200108,AL3377808553420200229,166544999.2
AL3380408552420200108,AL3379908556520210320,174301650.9
AL3377808553420200229,AL3370708555920190327,108210282.1
AL3377808553420200229,AL3379908556520210320,162156901.0
AL3379908556520210320,AL3370708555920190327,73083077.2
FL2931408304320180217,FL2941308303620190320,156939743.8
FL3041808235520180119,FL3040108231820180427,147176919.6
FL3041808235520180119,FL3040708225520180303,70961352.3
FL3041808235520180119,FL3053408239020210308,50015715.4
FL3040708225520180303,FL3040108231820180427,122361169.9
FL3040708225520180303,FL3053408239020210308,24967289.0
FL3040108231820180427,FL3053408239020210308,23745002.2
FL2862308067720200715,FL2861908074420191120,112353791.1
GA3453608340520210306,GA3450408341420180303,172486529.2
NJ3974007449020180422,NJ3977007445020190330,122376278.8
CA4172612124320190728,CA4173712105820200723,629239.5
OR4576612011120180727,OR4572112013020190713,107696025.7
WA4742412023220180901,WA4729212017020200724,9270789.6
CA3540011877020180803,CA3531811870820200701,36176795.1
CA3602211875920210618,CA3604711863120210910,9362188.6
CA3338011743020180706,CA3350411735320210828,18687493.3
NV3721011487220190823,NV3731011483320200719,7244287.4
ID4286811517820190809,ID4292211511120200819,99217341.8
ID4218811351720180726,ID4223511346220180922,101757902.5
ID4223511346220180922,ID4235511352920201010,55887193.0
ID4316911383020180716,ID4319611377420190801,87395436.5
AZ3415011213920200531,AZ3417411217520200807,133633205.1
UT3952611225620191026,UT3942511234720200626,200609061.7
AZ3394811199720180727,AZ3395311201220190903,174702248.4
MT4762510936620180903,MT4758110954820200807,56369992.8
MT4745010800920180503,MT4744110805920190511,91773122.0
MO3743109121220190409,MO3738509126320200222,131701428.2
MN4716609417820180405,MN4716409414720190419,62624351.3
AL3111808672020190411,AL3103508679420210427,50329775.2
AL3111808672020190411,AL3104408677720200122,68590662.3
AL3104408677720200122,AL3103508679420210427,199201167.7
FL3015208489420190730,FL3005608509020190916,2363077.2
FL3015208489420190730,FL3011208494120210203,129100688.0
FL3005608509020190916,FL3011208494120210203,34206836.4
FL3012108472320180325,FL3004608455020200311,152926.8
FL3037408463920190911,FL3027308452320210129,19393480.6
AL3317208615220180314,AL3324208607420190327,56195530.1
AL3339508597420180411,AL3324208607420190327,8023762.1
AL3339508597420180411,AL3337908600020210224,179353765.3
AL3324208607420190327,AL3337908600020210224,14115990.4
SC3453408029820180216,SC3465108026520180322,15195321.3
